Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Issue_price,Listing_Open,Listing_Close,Listing_Gains(%),CMP,Current_gains
06-05-2011,Muthoot Finance,901.25,25.01,60.94,8.5,175,176.45,176.25,0.71,"1,489.70",751.26
08-04-2011,Shilpi Cable,55.88,1.04,6.39,5.74,69,78.35,23.8,-65.51,1.1,-98.41
30-03-2011,PTC India Fin,438.76,2.85,0.22,1.18,28,28,24.9,-11.07,18.85,-32.68
24-03-2011,Lovable Lingeri,93.28,21.87,99.87,20.84,205,261.5,249.2,21.56,156.95,-23.44
11-03-2011,Sudar Ind,69.98,0.17,4.47,2.27,77,74,113.1,46.88,1.02,-98.68
11-03-2011,Fineotex Chem,30.32,0,0.22,4.38,70,80,14.09,-79.87,112.95,61.36
16-11-2010,Gravita India,45,6.04,182.52,37.34,125,218.75,42.08,-66.34,204.1,63.28
04-11-2010,Coal India,15475,24.7,25.4,2.31,245,300,342.35,39.73,151.15,-38.31
27-10-2010,BS Limited,197.36,0.52,3.16,1.04,248,251,18.93,-92.37,0.33,-99.87
27-10-2010,Gyscoal Alloys,54.67,1.54,33.44,8,71,76.6,8.16,-88.51,2.26,-96.82
27-10-2010,Prestige Estate,1200,4.32,0.24,0.08,183,190,192.55,5.22,452.45,147.24
20-10-2010,Oberoi Realty,1028.61,22.15,3.61,0.94,260,280,282.95,8.83,861.05,231.17
18-10-2010,Commercial Eng,172.41,3.68,0.34,0.38,127,122.8,112.25,-11.61,36.75,-71.06
14-10-2010,Sea TV Network,50.2,1.66,40.94,7.45,100,120,106,6,6.19,-93.81
14-10-2010,Ashoka Buildcon,225,25.52,13.91,3.46,324,333.55,73.33,-77.37,100.05,-69.12
14-10-2010,Bedmutha Ind,91.8,0.67,29.19,8.51,102,114.4,180.8,77.25,54.5,-46.57
13-10-2010,Va Tech Wabag,472.6,36.13,100.98,8.55,1310,1655,341.88,-73.9,339.7,-74.07
12-10-2010,Cantabil Retail,105,1.71,3.83,2.63,135,133.8,104.75,-22.41,679,402.96
12-10-2010,Tecpro Systems,268.03,27.99,62.48,9.07,355,399.4,407.85,14.89,4.53,-98.72
08-10-2010,Orient Green,900,2.09,0.64,0.18,47,45.7,44.9,-4.47,11.01,-76.57
08-10-2010,Electrosteel St,0,5.86,28.58,6.19,11,11.15,11.25,2.27,31.05,182.27
08-10-2010,Ramky Infra,530,4.52,1.45,0.99,450,450,387.35,-13.92,175.05,-61.1
06-10-2010,Career Point,115,47.45,101.93,31.74,310,461,632.35,103.98,133.9,-56.81
06-10-2010,Eros Intl,350,25.79,73.4,11.95,175,213.55,190.05,8.6,18.25,-89.57
05-10-2010,Sasta Sundar,147.5,5.91,35.88,11.04,118,135.1,110.9,-6.02,455,285.59
01-10-2010,Tirupati Inks,51.5,1.78,23.18,12.59,43,53.95,36.65,-14.77,1.59,-96.3
29-09-2010,Indosolar,357,1.44,1.3,1.81,29,29.75,23.7,-18.28,3.32,-88.55
09-09-2010,Gujarat Pipavav,500,13.2,85.7,9.15,46,56.25,54.05,17.5,100.5,118.48
25-08-2010,Prakash Steelag,68.75,1.27,10.91,6.62,110,118.55,18.8,-82.91,6.76,-93.85
18-08-2010,Bajaj Consumer ,297,20.19,53.49,6.62,660,730,151.65,-77.02,182.3,-72.38
16-08-2010,Bharat Fin,1653.97,20.38,18.26,2.81,985,1036,1088.58,10.52,898.2,-8.81
28-07-2010,Shri Aster,53.1,0.01,12.46,7.41,118,127.7,199.1,68.73,1.28,-98.92
21-07-2010,Hindustan Media,270,8.98,3.39,1,166,177.95,189.2,13.98,69.75,-57.98
16-07-2010,Technofab Engg,71.76,4.28,48.85,10.03,240,265,295.65,23.19,6.85,-97.15
01-07-2010,Parabolic Drugs,200,1.48,1.2,0.4,75,76,64.8,-13.6,5.7,-92.4
21-05-2010,Jaypee Infra,1650,1.77,1.15,0.61,102,98,91.3,-10.49,2.27,-97.77
20-05-2010,SJVN,1079,9.03,3.39,3.12,26,27.1,25.05,-3.65,28.25,8.65
19-05-2010,GB Global,107.9,7.97,10.52,2.81,130,131,133.65,2.81,9.8,-92.46
18-05-2010,Tarapur Trans,63.75,0.03,5.08,2.74,75,75,56.9,-24.13,4.09,-94.55
13-05-2010,NEL HOLDINGS SO,405,2.54,0.22,0.16,54,50,50.95,-5.65,2.41,-95.54
10-05-2010,Talwalkars Fitn,77.44,35.43,51.48,8.43,128,138,162.6,27.03,1.45,-98.87
16-04-2010,Goenka Diamond,145,0.78,2.99,0.66,135,130,12.79,-90.53,1.33,-99.01
12-04-2010,Intrasoft Tech,53.65,21.97,21.6,13.51,145,140,159.35,9.9,185.5,27.93
09-04-2010,Shree Ganesh,385.29,1.38,6.13,1.39,260,258.85,163.25,-37.21,0.82,-99.68
